#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
HD 79807               ;   63; 19;1288;162;2003-11-06T08:46:27.684;2007-05-17T00:00:37.782; 5.817; 0.010;1997A&A...323L..49P; 0.815; 0.001;2007A&A...474..653V;  5.102; 0.067;2018A&A...616A...1G; 196.00;0;K2;5015; 39.0; 2.82; 0.11; 0.02; 0.03;thiswork           ; 3.341; 0.139;17.720; 0.661; 0.293; 0.041; 0.2292; 0.2294; 0.0006; 0.0023;-4.8172;-4.8169; 0.0017; 1.523; 1.524; 0.006; 0.022;Simbad;138.73821;-37.60243
HD 8038                ;   17; 10;1594; 48;2003-12-18T02:19:56.589;2015-12-20T00:46:17.266; 8.405; 0.010;1997A&A...323L..49P; 0.699; 0.001;2007A&A...474..653V; 20.423; 0.042;2018A&A...616A...1G;  48.96;0;G4;5694; 23.0; 4.34; 0.03; 0.15; 0.02;2017A&A...606A..94D; 1.045; 0.017; 0.955; 0.003; 1.255; 1.061; 0.2189; 0.2203; 0.0019; 0.0194;-4.7821;-4.7775; 0.0062; 1.651; 1.669; 0.023; 0.246;Simbad;019.87110;-24.95121
HD 80632               ;   29; 10;4025; 48;2004-02-14T06:05:35.578;2018-02-13T06:12:29.270; 9.096; 0.010;1997A&A...323L..49P; 1.161; 0.004;2007A&A...474..653V; 41.365; 0.043;2018A&A...616A...1G;  24.18;0;K3;4864;219.0; 4.79; 0.58;-0.04; 0.08;thiswork           ; 0.701; 0.019; 0.649; 0.015; 4.600; 4.632; 0.5564; 0.5567; 0.0047; 0.0265;-4.7943;-4.7941; 0.0037; 1.606; 1.607; 0.014; 0.077;Simbad;140.18465;-05.75397
HD 80883               ;   20; 20; 527; 96;2003-12-11T07:58:40.206;2005-05-20T23:12:59.075; 8.595; 0.010;1997A&A...323L..49P; 0.819; 0.003;2007A&A...474..653V; 28.872; 0.048;2018A&A...616A...1G;  34.64;0;K0;5233; 35.0; 4.50; 0.06;-0.25; 0.03;2008A&A...487..373S; 0.778; 0.020; 0.759; 0.008; 8.729; 4.005; 0.2882; 0.2967; 0.0015; 0.0242;-4.6936;-4.6771; 0.0029; 2.025; 2.103; 0.013; 0.223;Simbad;139.93386;-59.47772
HD 81639               ;   26; 25;3110;108;2003-12-11T08:20:41.219;2012-06-15T22:57:04.480; 8.085; 0.010;1997A&A...323L..49P; 0.713; 0.002;2007A&A...474..653V; 26.843; 0.029;2018A&A...616A...1G;  37.25;0;G7;5522; 20.0; 4.35; 0.03;-0.17; 0.02;2008A&A...487..373S; 0.840; 0.012; 0.912; 0.003;11.703; 2.268; 0.1696; 0.1693; 0.0009; 0.0020;-4.9955;-4.9969; 0.0047; 1.010; 1.007; 0.011; 0.024;Simbad;140.52528;-73.54335
HD 81700               ;   21; 14;4843; 45;2004-02-12T05:48:46.843;2018-04-10T02:02:45.601; 8.506; 0.010;1997A&A...323L..49P; 0.645; 0.015;2007A&A...474..653V; 17.483; 0.036;2018A&A...616A...1G;  57.20;0;G1;5882; 21.0; 4.34; 0.02; 0.12; 0.01;2017A&A...606A..94D; 1.097; 0.010; 1.000; 0.000; 0.441; 0.372; 0.2243; 0.2226; 0.0020; 0.0156;-4.7215;-4.7272; 0.0065; 1.899; 1.874; 0.029; 0.224;Simbad;141.09562;-63.71835
HD 81767               ;   37; 14;1518; 43;2004-02-14T06:13:59.144;2014-03-31T03:54:42.567; 9.453; 0.010;1997A&A...323L..49P; 0.974; 0.007;2007A&A...474..653V; 23.096; 0.046;2018A&A...616A...1G;  43.30;0;K2;4978; 97.0; 4.62; 0.18; 0.05; 0.06;2011A&A...533A.141S; 0.808; 0.024; 0.754; 0.015; 4.788; 4.703; 0.2715; 0.2693; 0.0026; 0.0186;-4.8639;-4.8679; 0.0047; 1.368; 1.355; 0.015; 0.106;Simbad;141.78866;-16.66198
HD 82101               ;    1;  1;   1; 48;2004-02-12T06:03:06.734;2004-02-12T06:03:06.734; 6.728; 0.010;1997A&A...323L..49P; 0.439; 0.003;2007A&A...474..653V; 17.334; 0.025;2018A&A...616A...1G;  57.69;0;F2;6920;135.0; 4.25; 0.09; 0.19; 0.08;thiswork           ; 1.523; 0.034; 1.575; 0.057; 0.551; 0.447; 0.1846; 0.1846; 0.0021; 0.0000;-4.6618;-4.6618; 0.0089; 2.179; 2.179; 0.045; 0.000;Simbad;141.98906;-53.51730
HD 82114               ;   15;  8;5165; 54;2004-02-12T05:29:52.899;2018-04-09T02:34:25.196; 7.052; 0.010;1997A&A...323L..49P; 0.619; 0.007;2007A&A...474..653V; 19.983; 0.023;2018A&A...616A...1G;  50.04;0;G0;5912; 22.0; 4.00; 0.03; 0.01; 0.02;2017A&A...606A..94D; 1.133; 0.017; 1.660; 0.009; 6.130; 1.741; 0.1465; 0.1477; 0.0013; 0.0044;-5.0878;-5.0782; 0.0107; 0.817; 0.835; 0.020; 0.067;Simbad;140.85338;-77.89052
HD 82140               ;    2;  1;   1; 39;2004-12-19T07:53:05.132;2004-12-20T07:04:05.087; 8.376; 0.010;1997A&A...323L..49P; 0.635; 0.006;2007A&A...474..653V; 18.005; 0.070;2018A&A...616A...1G;  55.54;0;G3;5703; 47.0; 4.23; 0.07;-0.14; 0.04;thiswork           ; 0.905; 0.021; 1.092; 0.021;11.063; 2.602; 0.1548; 0.1548; 0.0017; 0.0000;-5.0380;-5.0380; 0.0121; 0.916; 0.916; 0.026; 0.000;Simbad;142.64686;+15.26004
HD 82342               ;   68; 64;4549; 94;2003-12-11T08:50:23.647;2016-05-24T23:22:38.571; 8.313; 0.010;1997A&A...323L..49P; 0.986; 0.015;2007A&A...474..653V; 50.936; 0.041;2018A&A...616A...1G;  19.63;0;K5;4470; 21.0; 4.96; 0.05;-0.56; 0.10;2017A&A...606A..94D; 0.713; 0.022; 0.804; 0.017; 0.017; 0.002; 0.2156; 0.2225; 0.0013; 0.0177;-4.9903;-4.9746; 0.0030; 1.023; 1.060; 0.007; 0.097;Simbad;142.61703;-32.10340
HD 82516               ;  139;134;4959;104;2003-12-12T07:15:11.074;2017-07-09T22:56:10.716; 8.507; 0.010;1997A&A...323L..49P; 0.926; 0.017;2007A&A...474..653V; 31.770; 0.045;2018A&A...616A...1G;  31.48;0;K2;5041; 57.0; 4.61; 0.12; 0.02; 0.03;2017A&A...606A..94D; 0.820; 0.024; 0.788; 0.014; 7.032; 5.026; 0.1993; 0.1990; 0.0011; 0.0147;-4.9808;-4.9816; 0.0031; 1.045; 1.043; 0.008; 0.098;Simbad;142.74700;-47.38418
HD 82783               ;   22; 13;3334; 46;2004-01-13T06:54:57.726;2018-04-08T03:11:08.108; 9.439; 0.010;1997A&A...323L..49P; 0.806; 0.029;2007A&A...474..653V; 16.727; 0.035;2018A&A...616A...1G;  59.78;0;G9;5318; 49.0; 4.44; 0.10; 0.21; 0.04;2017A&A...606A..94D; 0.931; 0.029; 0.869; 0.019; 3.198; 3.152; 0.2166; 0.2183; 0.0020; 0.0149;-4.8570;-4.8519; 0.0059; 1.390; 1.406; 0.019; 0.142;Simbad;143.36233;-30.66699
HD 82895               ;   19; 16; 772; 46;2004-12-21T08:34:56.484;2007-02-02T07:11:16.119; 7.538; 0.010;1997A&A...323L..49P; 0.433; 0.009;2007A&A...474..653V; 15.735; 0.041;2018A&A...616A...1G;  63.55;0;F3;6687;156.0; 4.36; 0.14; 0.06; 0.10;thiswork           ; 1.321; 0.037; 1.335; 0.043; 0.670; 0.644; 0.1670; 0.1687; 0.0022; 0.0048;-4.7350;-4.7270; 0.0110; 1.841; 1.875; 0.046; 0.102;Simbad;143.49001;-31.94089
HD 82943               ;  253;120;4910;215;2004-01-11T06:56:38.666;2017-06-20T23:18:44.454; 6.582; 0.010;1997A&A...323L..49P; 0.638; 0.001;2007A&A...474..653V; 36.216; 0.038;2018A&A...616A...1G;  27.61;2;F9;5989; 20.0; 4.20; 0.02; 0.26; 0.01;2008A&A...487..373S; 1.183; 0.013; 1.097; 0.004; 0.598; 0.414; 0.1680; 0.1672; 0.0006; 0.0047;-4.9572;-4.9623; 0.0034; 1.104; 1.091; 0.009; 0.069;Simbad;143.71140;-12.12955
HD 8326                ;    8;  5;1001; 77;2003-11-02T03:54:37.098;2006-08-04T09:35:15.640; 8.766; 0.010;1997A&A...323L..49P; 0.972; 0.005;2007A&A...474..653V; 32.559; 0.047;2018A&A...616A...1G;  30.71;1;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.3818; 0.3549; 0.0019; 0.0429;       ;       ;       ;      ;      ;      ;      ;Simbad;020.53172;-26.89310
HD 83443               ;   51; 48;4535;106;2003-12-28T08:17:40.669;2016-05-28T00:40:39.099; 8.227; 0.010;1997A&A...323L..49P; 0.810; 0.003;2007A&A...474..653V; 24.422; 0.037;2018A&A...616A...1G;  40.95;1;G7;5511; 45.0; 4.39; 0.08; 0.34; 0.03;2008A&A...487..373S; 1.018; 0.024; 0.945; 0.021; 1.866; 1.815; 0.1800; 0.1801; 0.0009; 0.0081;-4.9842;-4.9840; 0.0037; 1.037; 1.038; 0.009; 0.076;Simbad;144.29928;-43.27220
HD 83529               ;   28; 24;3104;194;2003-12-12T07:33:21.115;2012-06-11T00:07:25.787; 6.966; 0.010;1997A&A...323L..49P; 0.583; 0.007;2007A&A...474..653V; 29.820; 0.037;2018A&A...616A...1G;  33.53;0;G0;5902; 12.0; 4.15; 0.01;-0.22; 0.01;2008A&A...487..373S; 0.937; 0.009; 1.174; 0.027; 9.240; 2.261; 0.1613; 0.1613; 0.0006; 0.0010;-4.9455;-4.9456; 0.0040; 1.134; 1.133; 0.010; 0.016;Simbad;144.36941;-49.99093
HD 83683               ;    7;  6;   6; 44;2004-12-20T08:30:41.498;2004-12-26T07:10:14.829; 6.945; 0.010;1997A&A...323L..49P; 0.472; 0.013;2007A&A...474..653V; 24.680; 0.640;2007A&A...474..653V;  40.52;0;F5;6524; 85.0; 4.36; 0.07; 0.09; 0.06;thiswork           ; 1.259; 0.024; 1.208; 0.028; 0.415; 0.375; 0.1602; 0.1597; 0.0019; 0.0030;-4.8185;-4.8211; 0.0109; 1.519; 1.510; 0.038; 0.059;Simbad;145.14686;+13.05378
HD 8389                ;   33; 30;3617;127;2003-11-02T04:12:58.181;2013-09-27T06:04:29.923; 7.852; 0.010;1997A&A...323L..49P; 0.901; 0.000;2007A&A...474..653V; 33.211; 0.047;2018A&A...616A...1G;  30.11;0;K0;5283; 64.0; 4.41; 0.12; 0.34; 0.05;2008A&A...487..373S; 0.935; 0.032; 0.912; 0.026; 5.089; 4.305; 0.1782; 0.1776; 0.0008; 0.0132;-5.0292;-5.0311; 0.0028; 0.935; 0.931; 0.006; 0.095;Simbad;020.76099;-12.96607
HD 8406                ;   21; 21;3283;118;2003-10-28T02:58:39.100;2012-10-23T06:30:42.056; 7.918; 0.010;1997A&A...323L..49P; 0.655; 0.005;2007A&A...474..653V; 26.509; 0.067;2018A&A...616A...1G;  37.72;0;G3;5726; 12.0; 4.37; 0.01;-0.10; 0.01;2008A&A...487..373S; 0.953; 0.011; 0.912; 0.000; 3.900; 0.840; 0.1939; 0.1944; 0.0008; 0.0036;-4.8436;-4.8415; 0.0035; 1.433; 1.440; 0.012; 0.051;Simbad;020.75364;-16.48746
HD 84117               ;   25;  2;   1;204;2007-03-04T04:47:33.356;2007-03-05T05:24:02.431; 4.940; 0.010;1997A&A...323L..49P; 0.538; 0.004;2007A&A...474..653V; 67.469; 0.192;2018A&A...616A...1G;  14.82;0;F7;6217; 23.0; 4.11; 0.02; 0.03; 0.02;thiswork           ; 1.179; 0.017; 1.154; 0.017; 1.497; 0.790; 0.1585; 0.1585; 0.0005; 0.0000;-4.9113;-4.9113; 0.0033; 1.227; 1.227; 0.009; 0.001;Simbad;145.56007;-23.91557
HD 84273               ;   27; 23;1393; 39;2004-12-24T07:56:07.809;2008-10-17T09:07:57.119; 8.401; 0.010;1997A&A...323L..49P; 0.642; 0.011;2007A&A...474..653V; 22.107; 0.046;2018A&A...616A...1G;  45.23;0;G0;5917; 82.0; 4.49; 0.11; 0.12; 0.06;thiswork           ; 1.003; 0.014; 0.878; 0.015; 0.375; 0.375; 0.3672; 0.3573; 0.0034; 0.0167;-4.3995;-4.4154; 0.0054; 3.986; 3.842; 0.049; 0.242;Simbad;145.83448;-29.80401
HD 84305               ;    6;  5;2642; 44;2004-01-27T07:30:40.234;2011-04-22T00:13:50.791; 8.236; 0.010;1997A&A...323L..49P; 0.565; 0.005;2007A&A...474..653V; 18.228; 0.036;2018A&A...616A...1G;  54.86;0;G0;5963; 23.0; 4.29; 0.03;-0.23; 0.02;2017A&A...606A..94D; 0.955; 0.015; 1.047; 0.004; 6.524; 1.382; 0.1613; 0.1598; 0.0014; 0.0062;-4.9267;-4.9360; 0.0088; 1.184; 1.159; 0.024; 0.105;Simbad;145.77172;-43.27229
HD 8446                ;   14; 11;1421;113;2007-09-22T04:54:10.327;2011-08-13T07:28:31.989; 8.141; 0.010;1997A&A...323L..49P; 0.654; 0.015;2007A&A...474..653V; 14.049; 0.045;2018A&A...616A...1G;  71.18;0;G0;5952; 21.0; 4.03; 0.04; 0.37; 0.02;thiswork           ; 1.240; 0.014; 1.389; 0.022; 2.966; 0.870; 0.1595; 0.1567; 0.0008; 0.0041;-5.0216;-5.0396; 0.0049; 0.952; 0.913; 0.011; 0.057;Simbad;020.85829;-14.20692
HD 84627               ;   19; 12;5010; 47;2004-02-24T05:50:01.714;2017-11-12T08:09:02.950; 7.911; 0.010;1997A&A...323L..49P; 0.527; 0.015;2007A&A...474..653V; 17.487; 0.040;2018A&A...616A...1G;  57.19;0;F8;6113; 29.0; 4.22; 0.03;-0.28; 0.02;2017A&A...606A..94D; 0.996; 0.015; 1.201; 0.010; 6.441; 1.230; 0.1590; 0.1583; 0.0014; 0.0072;-4.8946;-4.8993; 0.0085; 1.275; 1.261; 0.025; 0.132;Simbad;146.26525;-49.48536
HD 84687               ;    8;  7;2640; 60;2004-01-29T06:25:52.234;2016-12-30T08:06:02.699; 6.869; 0.010;1997A&A...323L..49P; 0.399; 0.005;2007A&A...474..653V; 18.172; 0.037;2018A&A...616A...1G;  55.03;0;F2;6868;160.0; 4.09; 0.13; 0.14; 0.10;thiswork           ; 1.438; 0.037; 1.466; 0.049; 0.519; 0.474; 0.2015; 0.2021; 0.0016; 0.0026;-4.5585;-4.5565; 0.0054; 2.764; 2.777; 0.034; 0.056;Simbad;146.49902;-35.86379
HD 85119               ;   37; 37; 481; 79;2003-12-12T07:40:22.659;2005-04-06T03:58:35.480; 8.852; 0.010;1997A&A...323L..49P; 0.732; 0.015;2007A&A...474..653V; 22.414; 0.033;2018A&A...616A...1G;  44.61;0;G8;5425; 25.0; 4.51; 0.03;-0.20; 0.02;2008A&A...487..373S; 0.836; 0.021; 0.801; 0.014; 6.118; 2.928; 0.3961; 0.3982; 0.0018; 0.0112;-4.4395;-4.4366; 0.0025; 3.635; 3.659; 0.021; 0.130;Simbad;147.20872;-37.30965
HD 8535                ;   58; 33;3655; 46;2003-11-04T03:49:47.096;2015-10-09T05:26:10.327; 7.687; 0.010;1997A&A...323L..49P; 0.548; 0.009;2007A&A...474..653V; 18.009; 0.031;2018A&A...616A...1G;  55.53;1;F8;6158; 13.0; 4.12; 0.02; 0.04; 0.01;2017A&A...606A..94D; 1.164; 0.013; 1.259; 0.000; 3.130; 1.108; 0.1586; 0.1578; 0.0013; 0.0064;-4.9239;-4.9292; 0.0081; 1.192; 1.177; 0.022; 0.112;Simbad;020.90515;-41.26980
HD 85390               ;  114;111;4893; 99;2003-12-17T07:11:28.751;2017-05-10T00:35:00.839; 8.536; 0.010;1997A&A...323L..49P; 0.854; 0.003;2007A&A...474..653V; 29.802; 0.038;2018A&A...616A...1G;  33.55;1;K1;5135; 45.0; 4.42; 0.12;-0.09; 0.02;2017A&A...606A..94D; 0.805; 0.020; 0.789; 0.013; 8.658; 4.401; 0.1906; 0.1899; 0.0011; 0.0084;-4.9643;-4.9666; 0.0037; 1.086; 1.080; 0.009; 0.070;Simbad;147.51040;-49.79027
HD 8553                ;    3;  1;   1;123;2005-11-27T03:09:59.523;2005-11-29T02:17:47.461; 8.439; 0.010;1997A&A...323L..49P; 0.894; 0.021;2007A&A...474..653V; 31.757; 0.050;2018A&A...616A...1G;  31.49;0;K2;5077; 49.0; 4.37; 0.15;-0.01; 0.03;thiswork           ; 0.819; 0.022; 0.793; 0.010; 8.145; 4.703; 0.1667; 0.1667; 0.0008; 0.0000;-5.0664;-5.0664; 0.0031; 0.858; 0.858; 0.006; 0.000;Simbad;021.22477;+18.49993
HD 8558                ;   14; 14; 452; 94;2004-11-05T03:24:50.439;2006-01-31T00:48:44.673; 8.522; 0.010;1997A&A...323L..49P; 0.702; 0.015;2007A&A...474..653V; 22.068; 0.026;2018A&A...616A...1G;  45.31;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.6108; 0.6062; 0.0020; 0.0231;       ;       ;       ;      ;      ;      ;      ;Simbad;020.83856;-57.48075
HD 85725               ;   81; 68;5156; 94;2004-02-19T04:32:47.721;2018-04-02T04:51:10.528; 6.278; 0.010;1997A&A...323L..49P; 0.621; 0.002;2007A&A...474..653V; 18.503; 0.031;2018A&A...616A...1G;  54.05;0;F9;5986; 26.0; 3.72; 0.04; 0.15; 0.02;2017A&A...606A..94D; 1.528; 0.027; 2.503; 0.030; 2.686; 0.170; 0.1394; 0.1395; 0.0009; 0.0036;-5.2151;-5.2147; 0.0093; 0.609; 0.610; 0.013; 0.052;Simbad;148.24178;-27.33217
HD 85823               ;    2;  1;   1; 41;2004-12-24T07:36:08.823;2004-12-25T07:53:53.028; 9.314; 0.010;1997A&A...323L..49P; 0.658; 0.024;2007A&A...474..653V; 10.055; 0.030;2018A&A...616A...1G;  99.45;0;G3;5743; 28.0; 4.05; 0.05;-0.15; 0.02;thiswork           ; 0.927; 0.014; 1.257; 0.014;11.354; 2.719; 0.1582; 0.1582; 0.0016; 0.0000;-5.0327;-5.0327; 0.0106; 0.927; 0.927; 0.023; 0.000;Simbad;148.26194;-49.51261
HD 86065               ;   28; 26;3111; 61;2003-12-14T08:24:19.677;2012-06-19T23:29:40.791; 9.351; 0.010;1997A&A...323L..49P; 0.948; 0.015;2007A&A...474..653V; 24.744; 0.034;2018A&A...616A...1G;  40.41;0;K3;4863; 45.0; 4.48; 0.12;-0.03; 0.02;2017A&A...606A..94D; 0.774; 0.017; 0.750; 0.015; 8.818; 5.418; 0.2543; 0.2573; 0.0019; 0.0188;-4.8702;-4.8643; 0.0039; 1.348; 1.367; 0.012; 0.117;Simbad;148.92714;-18.10741
HD 86133               ;    6;  6;   8;150;2005-05-10T23:32:37.677;2005-05-19T00:03:13.360; 7.611; 0.010;1997A&A...323L..49P; 0.564; 0.015;2007A&A...474..653V; 24.454; 0.058;2018A&A...616A...1G;  40.89;0;G1;5896; 22.0; 4.11; 0.03;-0.17; 0.02;thiswork           ; 0.959; 0.014; 1.057; 0.020; 7.202; 1.542; 0.1680; 0.1681; 0.0007; 0.0010;-4.8855;-4.8847; 0.0040; 1.302; 1.304; 0.012; 0.017;Simbad;149.25920;+19.76240
HD 86140               ;   25; 24;3098; 74;2003-12-17T07:39:03.590;2012-06-10T00:00:47.945; 8.998; 0.010;1997A&A...323L..49P; 0.952; 0.021;2007A&A...474..653V; 33.170; 0.034;2018A&A...616A...1G;  30.15;0;K3;4903; 59.0; 4.74; 0.10;-0.25; 0.04;2008A&A...487..373S; 0.722; 0.018; 0.675; 0.016; 4.947; 4.490; 0.2917; 0.2898; 0.0019; 0.0228;-4.8059;-4.8092; 0.0032; 1.564; 1.552; 0.011; 0.139;Simbad;148.64608;-58.72981
HD 86171               ;    8;  8;1209;129;2003-12-18T07:59:54.014;2007-04-10T02:18:28.008; 8.526; 0.010;1997A&A...323L..49P; 0.745; 0.002;2007A&A...474..653V; 26.450; 0.054;2018A&A...616A...1G;  37.81;0;G9;5400; 20.0; 4.47; 0.03;-0.25; 0.01;2008A&A...487..373S; 0.800; 0.014; 0.795; 0.006; 9.476; 2.179; 0.2286; 0.2304; 0.0010; 0.0096;-4.7832;-4.7780; 0.0029; 1.647; 1.667; 0.011; 0.108;Simbad;149.16016;-08.83456
HD 86269               ;   17;  7; 357; 76;2006-04-03T23:21:42.314;2007-03-27T03:59:14.873;      ;      ;                   ;      ;      ;                   ;       ;      ;                   ;       ; ;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.3768; 0.3307; 0.0017; 0.0582;       ;       ;       ;      ;      ;      ;      ;Simbad;148.87567;-57.95444
